timestamp_ms,value,is_anomaly
1414323000000,20375.0,0
1414324800000,20658.0,0
1414326600000,21283.0,0
1414328400000,20200.0,0
1414330200000,20135.0,0
1414332000000,20306.0,0
1414333800000,20404.0,0
1414335600000,19931.0,0
1414337400000,19772.0,0
1414339200000,18406.0,0
1414341000000,16957.0,0
1414342800000,17972.0,0
1414344600000,19563.0,0
1414346400000,20106.0,0
1414348200000,20449.0,0
1414350000000,19860.0,0
1414351800000,19343.0,0
1414353600000,18128.0,0
1414355400000,17298.0,0
1414357200000,16004.0,0
1414359000000,16422.0,0
1414360800000,14618.0,0
1414362600000,13017.0,0
1414364400000,11532.0,0
1414366200000,10089.0,0
1414368000000,8326.0,0
1414369800000,6579.0,0
1414371600000,4385.0,0
1414373400000,3470.0,0
1414375200000,2854.0,0
1414377000000,2128.0,0
1414378800000,1785.0,0
1414380600000,1707.0,0
1414382400000,2138.0,0
1414384200000,2406.0,0
1414386000000,2847.0,0
1414387800000,4951.0,0
1414389600000,7094.0,0
1414391400000,11090.0,0
1414393200000,14205.0,0
1414395000000,17506.0,0
1414396800000,18105.0,0
1414398600000,17656.0,0
1414400400000,17751.0,0
1414402200000,17096.0,0
1414404000000,15784.0,0
1414405800000,16086.0,0
1414407600000,14843.0,0
1414409400000,16446.0,0
1414411200000,16614.0,0
1414413000000,16155.0,0
1414414800000,15502.0,0
1414416600000,16293.0,0
1414418400000,16885.0,0
1414420200000,17759.0,0
1414422000000,18533.0,0
1414423800000,17617.0,0
1414425600000,16279.0,0
1414427400000,15551.0,0
1414429200000,18199.0,0
1414431000000,20618.0,0
1414432800000,22703.0,0
1414434600000,23897.0,0
1414436400000,24329.0,0
1414438200000,23182.0,0
1414440000000,21778.0,0
1414441800000,21251.0,0
1414443600000,21189.0,0
1414445400000,20884.0,0
1414447200000,19670.0,0
1414449000000,18163.0,0
1414450800000,15613.0,0
1414452600000,13371.0,0
1414454400000,10910.0,0
1414456200000,7638.0,0
1414458000000,5589.0,0
1414459800000,4215.0,0
1414461600000,3386.0,0
1414463400000,2753.0,0
1414465200000,2181.0,0
1414467000000,2034.0,0
1414468800000,2094.0,0
1414470600000,1896.0,0
1414472400000,2632.0,0
1414474200000,4581.0,0
1414476000000,6612.0,0
1414477800000,11609.0,0
1414479600000,15127.0,0
1414481400000,19097.0,0
1414483200000,19516.0,0
1414485000000,19422.0,0
1414486800000,18088.0,0
1414488600000,17669.0,0
1414490400000,16744.0,0
1414492200000,17075.0,0
1414494000000,16035.0,0
1414495800000,17421.0,0
1414497600000,17756.0,0
1414499400000,17057.0,0
1414501200000,16101.0,0
1414503000000,17443.0,0
1414504800000,17890.0,0
1414506600000,18651.0,0
1414508400000,18762.0,0
1414510200000,17135.0,0
1414512000000,15175.0,0
1414513800000,13958.0,0
1414515600000,16881.0,0
1414517400000,19615.0,0
1414519200000,22196.0,0
1414521000000,22906.0,0
1414522800000,23482.0,0
1414524600000,23088.0,0
1414526400000,23728.0,0
1414528200000,23210.0,0
1414530000000,23685.0,0
1414531800000,23843.0,0
1414533600000,22597.0,0
1414535400000,20923.0,0
1414537200000,19229.0,0
1414539000000,15963.0,0
1414540800000,12292.0,0
1414542600000,9190.0,0
1414544400000,6864.0,0
1414546200000,5693.0,0
1414548000000,4499.0,0
1414549800000,3304.0,0
1414551600000,2560.0,0
1414553400000,2485.0,0
1414555200000,2560.0,0
1414557000000,2248.0,0
1414558800000,2389.0,0
1414560600000,4313.0,0
1414562400000,6649.0,0
1414564200000,11289.0,0
1414566000000,15103.0,0
1414567800000,19437.0,0
1414569600000,19443.0,0
1414571400000,19707.0,0
1414573200000,18912.0,0
1414575000000,18203.0,0
1414576800000,16492.0,0
1414578600000,16837.0,0
1414580400000,16075.0,0
1414582200000,17160.0,0
1414584000000,17606.0,0
1414585800000,17267.0,0
1414587600000,16875.0,0
1414589400000,17940.0,0
1414591200000,18339.0,0
1414593000000,18971.0,0
1414594800000,19298.0,0
1414596600000,16665.0,0
1414598400000,15008.0,0
1414600200000,13873.0,0
1414602000000,17894.0,0
1414603800000,21574.0,0
1414605600000,22116.0,0
1414607400000,23582.0,0
1414609200000,25553.0,0
1414611000000,25299.0,0
1414612800000,24778.0,0
1414614600000,24729.0,0
1414616400000,24907.0,0
1414618200000,24810.0,0
1414620000000,24246.0,0
1414621800000,23250.0,0
1414623600000,20700.0,0
1414625400000,18631.0,0
1414627200000,14048.0,0
1414629000000,10691.0,0
