timestamp_s,value,is_anomaly
1396310400,19.761251902999998,0
1396310700,20.500833287,0
1396311000,19.9616414445,0
1396311300,21.4902660734,0
1396311600,20.1877394098,0
1396311900,19.9231256718,0
1396312200,21.698403961700002,0
1396312500,20.8787583842,0
1396312800,18.4461996294,0
1396313100,18.7108178448,0
1396313400,21.148491451800002,0
1396313700,21.3434052847,0
1396314000,20.1807633164,0
1396314300,20.217820911500002,0
1396314600,20.527731851400002,0
1396314900,19.7564630971,0
1396315200,20.7207964939,0
1396315500,18.4339250303,0
1396315800,21.845116969499998,0
1396316100,21.0006192952,0
1396316400,20.524696816,0
1396316700,19.265288228,0
1396317000,18.6438219498,0
1396317300,19.6373718553,0
1396317600,20.6463069623,0
1396317900,20.534838973699998,0
1396318200,19.530564620299998,0
1396318500,20.4531455753,0
1396318800,21.2549931823,0
1396319100,18.1051390894,0
1396319400,19.8024841917,0
1396319700,21.0342209139,0
1396320000,20.1845778819,0
1396320300,20.6059043517,0
1396320600,20.0667055704,0
1396320900,21.967498178699998,0
1396321200,18.218486146,0
1396321500,19.964179287100002,0
1396321800,18.3656661965,0
1396322100,18.6391422485,0
1396322400,19.5321534017,0
1396322700,18.622160366,0
1396323000,21.854748663800002,0
1396323300,21.7871591069,0
1396323600,19.3444385849,0
1396323900,20.5589908482,0
1396324200,20.1350132824,0
1396324500,21.262347922100002,0
1396324800,20.5097824393,0
1396325100,18.001009818,0
1396325400,21.0526975424,0
1396325700,20.9873924852,0
1396326000,20.0388908223,0
1396326300,21.6116758929,0
1396326600,21.633784822800003,0
1396326900,20.0956467068,0
1396327200,20.4319529248,0
1396327500,21.9860882877,0
1396327800,19.1952809392,0
1396328100,19.2984689692,0
1396328400,18.7310956107,0
1396328700,21.583467756599998,0
1396329000,20.9779535598,0
1396329300,18.4225713955,0
1396329600,21.9270694048,0
1396329900,20.9238468326,0
1396330200,21.4020884384,0
1396330500,18.192603156700002,0
1396330800,20.0198436758,0
1396331100,20.7943931469,0
1396331400,20.1717863383,0
1396331700,20.6665898628,0
1396332000,21.2714962544,0
1396332300,19.497348251800002,0
1396332600,21.3946747025,0
1396332900,18.6516644191,0
1396333200,19.0835442201,0
1396333500,18.1733824797,0
1396333800,19.4577072453,0
1396334100,19.5196381793,0
1396334400,21.221082388800003,0
1396334700,20.612522681199998,0
1396335000,19.7468902326,0
1396335300,20.608455914500002,0
1396335600,18.2111334021,0
1396335900,18.7210861441,0
1396336200,20.507791421,0
1396336500,20.5654672769,0
1396336800,21.0965386348,0
1396337100,19.6119990362,0
1396337400,20.8902163865,0
1396337700,20.7359213302,0
1396338000,21.8535735135,0
1396338300,18.8605209057,0
1396338600,20.206718255,0
1396338900,20.407057768399998,0
1396339200,21.994591539699996,0
1396339500,18.804736568699997,0
1396339800,20.0928720799,0
1396340100,19.384741230899998,0
1396340400,20.103571874300002,0
1396340700,18.928514408399998,0
1396341000,18.1904495137,0
1396341300,20.2902618156,0
1396341600,19.3434172634,0
1396341900,18.727765607000002,0
1396342200,19.2957422643,0
1396342500,18.1971208058,0
1396342800,74.1260143836,0
1396343100,69.10361164359999,0
1396343400,72.2808540663,0
1396343700,66.9544074866,0
1396344000,73.4850794789,0
1396344300,67.7731278131,0
1396344600,69.0056563819,0
1396344900,67.88839812890001,0
1396345200,71.1725848238,0
1396345500,68.9065226554,0
1396345800,64.8937453607,0
1396346100,63.179337626000006,0
1396346400,79.2470505155,0
1396346700,77.4320730032,0
1396347000,71.3295428127,0
1396347300,75.9799830691,0
1396347600,77.8293300694,0
1396347900,82.67338298899999,0
1396348200,71.0210883865,0
1396348500,75.2486478048,0
1396348800,82.6076230245,0
1396349100,79.90353942109999,0
1396349400,74.3401531544,0
1396349700,82.9596010938,0
1396350000,79.41334110529999,0
1396350300,79.4937884794,0
1396350600,87.0996450426,0
1396350900,86.6309408675,0
1396351200,77.2701037963,0
1396351500,73.8037704623,0
1396351800,76.7474037102,0
1396352100,72.052805772,0
1396352400,71.8982924702,0
1396352700,77.8583840549,0
1396353000,86.5339792602,0
1396353300,85.426067155,0
1396353600,80.08686564029999,0
1396353900,80.9463697522,0
1396354200,72.0084220248,0
1396354500,75.3574808711,0
1396354800,72.3095103677,0
1396355100,83.9717453641,0
1396355400,74.2411363371,0
1396355700,85.8016679353,0
1396356000,82.194437192,0
1396356300,75.5798939857,0
1396356600,74.4340968432,0
1396356900,81.94354482050001,0
1396357200,86.3926524705,0
1396357500,83.47372499939999,0
1396357800,77.5581280065,0
1396358100,81.3786019713,0
1396358400,76.953713801,0
1396358700,87.9652763341,0
1396359000,83.9612714729,0
1396359300,81.81046701060001,0
1396359600,78.7532409691,0
1396359900,81.8707829394,0
1396360200,77.4472651938,0
1396360500,72.4444465903,0
1396360800,78.31765692970001,0
1396361100,86.883522504,0
1396361400,82.0168805171,0
1396361700,73.3397707712,0
1396362000,86.15576213920002,0
1396362300,76.2983350936,0
1396362600,75.89666867439999,0
1396362900,76.7497713346,0
1396363200,81.2313364867,0
1396363500,80.7111351745,0
1396363800,79.8587866682,0
1396364100,83.4765827479,0
1396364400,77.06386388119998,0
1396364700,84.51222102,0
1396365000,74.8044287246,0
1396365300,84.5211212147,0
1396365600,82.6201685228,0
1396365900,82.930536812,0
1396366200,79.7040891874,0
