timestamp_ms,value,is_anomaly
1393377300000,0.066,0
1393377600000,0.134,0
1393377900000,0.134,0
1393378200000,0.134,0
1393378500000,0.134,0
1393378800000,0.132,0
1393379100000,0.066,0
1393379400000,0.132,0
1393379700000,0.132,0
1393380000000,0.134,0
1393380300000,0.066,0
1393380600000,0.134,0
1393380900000,0.134,0
1393381200000,0.134,0
1393381500000,0.066,0
1393381800000,0.2,0
1393382100000,0.066,0
1393382400000,0.134,0
1393382700000,0.134,0
1393383000000,0.132,0
1393383300000,0.134,0
1393383600000,0.134,0
1393383900000,0.198,0
1393384200000,0.066,0
1393384500000,1.534,0
1393384800000,0.066,0
1393385100000,0.134,0
1393385400000,0.132,0
1393385700000,0.132,0
1393386000000,0.134,0
1393386300000,0.132,0
1393386600000,0.132,0
1393386900000,0.134,0
1393387200000,0.134,0
1393387500000,0.136,0
1393387800000,0.134,0
1393388100000,0.136,0
1393388400000,0.066,0
1393388700000,0.2,0
1393389000000,0.066,0
1393389300000,0.132,0
1393389600000,0.136,0
1393389900000,0.132,0
1393390200000,0.132,0
1393390500000,0.132,0
1393390800000,0.132,0
1393391100000,0.134,0
1393391400000,0.134,0
1393391700000,0.134,0
1393392000000,0.134,0
1393392300000,0.132,0
1393392600000,0.134,0
1393392900000,0.132,0
1393393200000,0.132,0
1393393500000,0.20199999999999999,0
1393393800000,0.134,0
1393394100000,0.132,0
1393394400000,0.132,0
1393394700000,0.134,0
1393395000000,0.134,0
1393395300000,0.134,0
1393395600000,0.2,0
1393395900000,0.066,0
1393396200000,0.134,0
1393396500000,0.132,0
1393396800000,0.066,0
1393397100000,0.134,0
1393397400000,0.134,0
1393397700000,0.20199999999999999,0
1393398000000,0.132,0
1393398300000,0.134,0
1393398600000,0.134,0
1393398900000,0.134,0
1393399200000,0.134,0
1393399500000,0.134,0
1393399800000,0.068,0
1393400100000,0.132,0
1393400400000,0.132,0
1393400700000,0.132,0
1393401000000,0.20199999999999999,0
1393401300000,0.132,0
1393401600000,0.134,0
1393401900000,0.134,0
1393402200000,0.132,0
1393402500000,0.132,0
1393402800000,0.132,0
1393403100000,0.132,0
1393403400000,0.134,0
1393403700000,0.134,0
1393404000000,0.134,0
1393404300000,0.134,0
1393404600000,0.132,0
1393404900000,0.20199999999999999,0
1393405200000,0.132,0
1393405500000,0.134,0
1393405800000,0.134,0
1393406100000,0.132,0
1393406400000,0.068,0
1393406700000,0.134,0
1393407000000,0.132,0
1393407300000,0.198,0
1393407600000,0.134,0
1393407900000,0.134,0
1393408200000,0.134,0
1393408500000,0.132,0
1393408800000,0.198,0
1393409100000,0.132,0
1393409400000,0.066,0
1393409700000,0.132,0
1393410000000,0.134,0
1393410300000,0.132,0
1393410600000,0.066,0
1393410900000,0.132,0
1393411200000,0.132,0
1393411500000,0.132,0
